@relation test

@attribute RAIN numeric
@attribute T.MAX numeric
@attribute T.MIN numeric
@attribute T.MIN.G numeric
@attribute WIND numeric

@data
-0.418133,-0.825026,-0.617272,-0.690185,13.67
0.797681,-1.319284,-0.503447,-0.30231,11.5
-0.368508,-1.684605,-1.345748,-0.597834,11.25
-0.418133,-1.663116,-1.368513,-1.096531,8.63
2.112745,-1.319284,-1.801046,-1.890753,11.92
-0.467758,-1.46971,-1.186394,-0.874888,10.67
0.00368,-0.889494,-2.005931,-1.816872,9.17
-0.467758,-1.448221,-0.753861,-0.505483,14.29
1.591682,-1.405242,-0.913215,-0.653245,8.04
-0.467758,-1.46971,-0.776626,-0.413131,11.42
-0.343695,-0.717578,-2.165285,-1.927694,7.54
1.020994,-0.24481,-2.210815,0.000603,15.54
-0.467758,-0.051404,-0.207503,0.104036,4.63
-0.467758,-1.663116,-2.18805,-1.632169,3.08
-0.467758,-1.92099,-2.597818,-2.038515,2.5
-0.467758,-1.878011,-2.415699,-2.038515,9.25
0.028493,-0.868005,-0.731096,-1.00418,13.42
1.616494,-0.696089,-0.480682,0.436501,17.83
-0.244445,-1.448221,-1.095335,-0.874888,3.71
4.866936,-0.868005,-1.596162,-1.502877,3.17
-0.418133,-0.696089,-1.095335,-0.431601,8.04
-0.39332,-1.46971,-0.207503,-0.265369,9.38
-0.467758,-1.46971,-0.207503,-0.099137,13.7
1.889432,-1.727584,-0.685566,-0.413131,20.38
-0.467758,-1.942479,-0.958745,-0.30231,9.25
-0.29407,-0.072894,-0.958745,-0.801007,14.33
-0.09557,-0.22332,-0.617272,-0.006785,16.79
0.226993,-0.287789,-0.366858,-0.911829,12.25
1.070619,-0.158852,-0.457917,-0.283839,22
-0.120383,-1.190347,-0.617272,-0.35772,14.5
0.698431,-1.319284,-0.98151,-0.597834,14.88
0.053305,-0.996942,-1.231924,-0.911829,10.17
-0.442946,-1.125879,-1.231924,-0.32078,10.88
0.524743,-1.125879,-1.596162,-1.428996,8.5
0.946556,-0.438215,-1.459573,-0.708656,12.54
1.666119,0.034554,-0.389623,-0.117607,13.96
-0.343695,-1.190347,-0.98151,-0.228428,19.17
-0.39332,-0.373746,-0.731096,-0.376191,14.21
0.623993,0.270938,-0.457917,-0.062196,16.5
-0.39332,-0.352257,-0.002619,0.085566,14.37
-0.269258,-0.567152,0.202265,0.067096,11.08
0.40068,-0.438215,0.202265,0.196388,17.5
-0.467758,0.464344,0.156735,0.288739,11.71
-0.467758,-0.137362,0.543738,0.602734,16.08
-0.467758,-0.008425,0.816917,0.916728,15.46
-0.467758,0.099022,-0.89045,-1.115002,5.17
-0.467758,-0.266299,-0.89045,-0.98571,3.42
-0.467758,-0.352257,-0.457917,-0.579364,6.17
-0.467758,-0.008425,-0.093679,0.288739,10.88
-0.467758,0.249449,0.407149,-0.579364,9.62
-0.467758,-0.051404,-0.253033,-0.782537,7.25
-0.467758,-1.018431,-0.389623,-0.893358,3.75
-0.467758,-1.254815,-0.298563,-0.043726,8.25
0.673618,-0.975452,-0.298563,-0.099137,16.38
-0.29407,-0.502683,-0.070914,0.307209,8.17
0.326243,-0.760557,-0.844921,-0.745596,13.08
0.053305,0.249449,-0.275798,-0.32078,21.17
0.30143,-0.696089,-0.366858,-0.30231,12.75
-0.219633,-0.588641,-0.594507,-0.376191,14.75
-0.29407,-0.137362,0.384384,0.418031,10.25
-0.467758,-0.24481,0.1795,0.288739,10.88
-0.467758,-0.24481,-0.776626,-0.801007,11.29
-0.467758,-0.330767,-0.822156,-0.413131,6.21
-0.467758,0.829665,-1.459573,-1.096531,5.5
-0.467758,0.227959,-0.480682,-0.265369,2.83
-0.467758,0.292428,-0.093679,-0.080666,3.63
-0.467758,0.378386,-0.457917,-0.35772,1.71
-0.467758,0.18498,-0.070914,-0.209958,3.75
-0.467758,-0.330767,0.065675,0.196388,8.79
-0.467758,0.270938,-0.161974,-0.062196,10.34
-0.442946,0.013064,-0.366858,0.000603,17.12
-0.467758,0.464344,0.930742,1.156842,13.96
-0.467758,0.464344,0.703093,0.418031,8.12
-0.467758,0.61477,0.156735,-0.413131,11.54
-0.467758,1.173497,-0.958745,-0.727126,2.75
-0.467758,-0.782047,-0.98151,-0.782537,13
-0.343695,-0.674599,-0.822156,-0.431601,13.17
-0.467758,-0.803536,-0.708331,-0.801007,7.75
